Date,Clicks,Impressions,CTR,Position
2025-10-24,16,626,2.56%,11.2
2025-10-25,13,518,2.51%,10
2025-10-26,18,682,2.64%,11.4
2025-10-27,30,973,3.08%,12.8
2025-10-28,26,885,2.94%,9.5
2025-10-29,22,850,2.59%,9.4
2025-10-30,12,824,1.46%,9.8
2025-10-31,13,697,1.87%,13
2025-11-01,4,477,0.84%,12.6
2025-11-02,14,665,2.11%,10
2025-11-03,19,966,1.97%,9.6
2025-11-04,19,902,2.11%,9.2
2025-11-05,18,990,1.82%,9.5
2025-11-06,17,944,1.8%,9.5
2025-11-07,12,731,1.64%,11
2025-11-08,7,461,1.52%,11
2025-11-09,12,621,1.93%,9.8
2025-11-10,13,848,1.53%,9.8
2025-11-11,16,848,1.89%,9.2
2025-11-12,22,877,2.51%,10.6
2025-11-13,8,767,1.04%,11
2025-11-14,11,586,1.88%,12.7
2025-11-15,2,412,0.49%,15.2
2025-11-16,14,584,2.4%,11.4
2025-11-17,11,753,1.46%,11.8
2025-11-18,11,788,1.4%,13.7
2025-11-19,18,839,2.15%,13.9
2025-11-20,10,714,1.4%,12.1
2025-11-21,8,583,1.37%,14.1
2025-11-22,3,399,0.75%,15.9
2025-11-23,14,630,2.22%,17
2025-11-24,14,676,2.07%,16.1
2025-11-25,13,549,2.37%,15.1
2025-11-26,11,570,1.93%,15
2025-11-27,14,569,2.46%,18.2
2025-11-28,8,391,2.05%,12.6
2025-11-29,2,287,0.7%,14.3
2025-11-30,4,391,1.02%,15.3
2025-12-01,9,493,1.83%,13
2025-12-02,5,554,0.9%,11.5
2025-12-03,13,558,2.33%,10.1
2025-12-04,4,525,0.76%,10.1
2025-12-05,7,434,1.61%,13.7
2025-12-06,3,325,0.92%,12.1
2025-12-07,4,456,0.88%,17.4
2025-12-08,6,594,1.01%,16.3
2025-12-09,15,662,2.27%,14.1
2025-12-10,7,612,1.14%,9.9
2025-12-11,12,600,2%,8.7
2025-12-12,6,448,1.34%,12.5
2025-12-13,5,316,1.58%,15.5
2025-12-14,4,431,0.93%,13.4
2025-12-15,11,512,2.15%,10.1
2025-12-16,12,557,2.15%,11.3
2025-12-17,10,562,1.78%,10
2025-12-18,10,523,1.91%,9.9
2025-12-19,8,480,1.67%,14.1
2025-12-20,2,347,0.58%,22.1
2025-12-21,8,446,1.79%,13.2
2025-12-22,16,616,2.6%,12.4
2025-12-23,6,542,1.11%,12.1
2025-12-24,7,527,1.33%,16.2
2025-12-25,1,384,0.26%,18.2
2025-12-26,4,406,0.99%,14.2
2025-12-27,5,366,1.37%,14.6
2025-12-28,6,389,1.54%,14.2
2025-12-29,9,548,1.64%,12.9
2025-12-30,8,558,1.43%,13.4
2025-12-31,3,475,0.63%,15.1
2026-01-01,5,364,1.37%,11.7
2026-01-02,3,401,0.75%,11.1
2026-01-03,3,321,0.93%,14.5
2026-01-04,9,425,2.12%,9.2
2026-01-05,5,590,0.85%,10.1
2026-01-06,5,485,1.03%,9.7
2026-01-07,11,339,3.24%,9.3
2026-01-08,3,278,1.08%,15.8
2026-01-09,1,234,0.43%,14.5
2026-01-10,2,209,0.96%,21.1
2026-01-11,3,186,1.61%,24.6
2026-01-12,5,228,2.19%,12.7
2026-01-13,4,279,1.43%,16
2026-01-14,0,244,0%,15.1
2026-01-15,3,272,1.1%,14.3
2026-01-16,1,241,0.41%,16.7
2026-01-17,0,210,0%,19.4
2026-01-18,5,278,1.8%,18.4
2026-01-19,2,282,0.71%,16.7
2026-01-20,1,260,0.38%,15.6
2026-01-21,4,572,0.7%,13.7
2026-01-22,3,422,0.71%,14.3
2026-01-23,5,344,1.45%,22.8